Date,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
6/26/78,8:08,"Toronto, Canada",Air Canada,189,Toronto - Winnipeg,McDonnell Douglas DC-9-32,C-FTLV,47197,107,2,0,105,0.981308411,"The aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. The No. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. Debris was also ingested by the No. 2 engine causing a loss of reverse thrust during the rejected takeoff.",Low Fatality
9/25/78,9:02,"San Diego, California",PacifiSouthwest Airlines / Private,182,Los Angeles - San Diego,Boeing B-727-214 / Cessna 172,N533PS/N7711G,19688/589 / ,137,137,7,0,0,"Midair collision. The PSA was descending and about to land at Lindbergh Field. The Cessna was climbing while engaged in practice approaches. The 727 overtook and struck the Cessna from the rear. The primary cause was the PSA crew lost sight of the Cessna and did not make that fact known to the ATC.  The ATC failed to realize from the PSA transmissions that they lost sight of the Cessna. One hundred thirty-five killed on the PSA, two on the Cessna and seven on the ground. Crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before.",High Fatality
11/15/78,23:30,"Near Katunayake, Sri Lanka",Loftleidir IcelandiAirlines,,Jeddah - Colombo,McDonnell Douglas DC-8-Super 63CF,TF-FLA,46020/415,262,183,0,79,0.301526718,The aircraft crashed short of the runway into a coconut plantation while attempting to land in heavy rain.  Windshear. Excessive sink rate. Crew's non-conformance with approach procedures. Incorrect information supplied by the radar controller. Lack of an approach lighting system at Bandaranaike.,High Fatality
11/19/78,11:00,"Near Leh, India",Military - Indian Air Force,,Chandigarh - Leh,Antonov An-12,,,77,77,1,0,0,Crashed into a mountain and burned short of the runway after experiencing engine failure.,High Fatality
12/17/78,,"Hyderabad, India",Indian Airlines,,,Boeing B-737-2A8,VT-EAL,20485/277,132,1,3,131,0.992424242,"Couldn't climb on takeoff due to non-availability of leading edge slats, overran the runway and killed one passenger and  3 maintenance workers on the ground cutting grass. Nonavailability of leading edge devices immediately after rotation during take off.",Low Fatality
12/23/78,0:39,"Near Cinisi, Sicily, Italy",Alitalia,4128,Rome - Palermo,McDonnell Douglas DC-9-32,I-DIKQ,47227/334,129,108,0,21,0.162790698,The aircraft crashed into ocean during a landing approach. Poor monitoring of altitudes and too early a transition from ILS to visual flight procedures.,High Fatality
12/28/78,18:15,"Portland, Oregon",United Air Lines,173,Denver - Portland,McDonnell Douglas DC-8-61,N8082U,45972/357,189,10,0,179,0.947089947,"While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.",Low Fatality
3/17/79,19:44,"Near Moscow, Russia",Aeroflot,,Moscow - Odessa,Tupolev TU-104B,CCCP-42444,921001,106,86,0,20,0.188679245,The aircarft crashed in freezing rain and fog shortly after taking off. The aircraft was overloaded. The pilot had very little experience flying aircraft type.,High Fatality
5/25/79,15:04,"Chicago O'Hare, Illinois",American Airlines,191,"Chicago, IL- Los Angeles, CA",McDonnell Douglas DC-10-10,N110AA,46510/22,271,271,2,0,0,"During takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulisystem which caused the aircraft to roll and crash. Highest single plane death toll in U.S. aviation history. Asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. Improper maintenance procedures used by American Airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks.",High Fatality
8/11/79,13:35,"Dneprodzerzhinsk, Ukraine, USSR",Aeroflot / Aeroflot,7880,Tashkent - Donetsk - Minsk /Chelyabinsk to Kishinev,Tupolev TU-134A / Tupolev Tu-134A,65735/65816,2351516 / 05040,178,178,0,0,0,"Midair collision at 27,200 ft. Separation error by air trafficontroller. Eight-four killed on the 65735 and 94 on the 65816. Fourteen players and 3 staff members of the Russian soccer team, Pakhtakor Tashkent were killed.",High Fatality
10/8/79,,"Athens, Greece",Swissair,SR316,Zurich - Geneva - Athens - Bombay - Beijing,McDonnell Douglas DC-8-62,HB-IDE,45919/312,156,14,0,142,0.91025641,The aircraft overran the runway and crashed with the left wing and tail separating before the aircraft came to a rest. The crew touched down too far down the runway at a speed higher than normal after a non-stabilized final approach. The crew did not fully apply the braking systems after a touchdown under known adverse conditions.,Low Fatality
10/31/79,5:42,"Mexico City, Mexico",Western Airlines,2605,"Los Angeles, CA  - Mexico City, Mexico",McDonnell Douglas DC-10-10,N903WA,46929/107,88,72,1,16,0.181818182,"The aircraft struck a vehicle after landing on a closed runway in fog. The tower warned the flight three times about the closed runway. Non-compliance with the meteorological minima for the approach procedure, as cleared.  Failure to comply with the aircraft's operating procedures during the approach phase, and landing on a runway closed to traffic.",High Fatality
11/26/79,2:03,"Near At Ta'if, Jeddah, Saudi Arabia",Pakistan International Airlines,740,Jeddah - Karachi,Boeing B-707-340C,AP-AWZ,20275/844,156,156,0,0,0,After being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. Seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. The blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a Haj pilgrim passenger.,High Fatality
11/28/79,12:49,"Near Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,901,Auckland - Christchurch,McDonnell Douglas DC-10-30,ZK-NZP,46910/182,257,257,0,0,0,"The aircraft crashed into the slopes of Mt. Erebus while on sightseeing flight to Antarctica. An incorrect computer-stored flight plan resulted in a navigational error directing the flight towards Mt. Erebus. Because of overcast, the crew descended below authorized altitude. Contributing to the accident was the crew's inexperience with flying the Antarctiroute. Information about the navigational errors was suppressed by officials.",High Fatality
1/21/80,19:10,"Elburz Mtns., near Laskarak, Markazi, Iran",Iran National Airlines,,Babol Sar - Tehran,Boeing B-727-86,EP-IRD,19817/537,128,128,0,0,0,"The aircraft crashed into a mountain during a landing attempt in fog and snow. Inoperative ground radar, inoperative ILS. The aircraft was named 'Shiraz.'",High Fatality
2/27/80,6:00,"Manila, Philippines",China Airlines (Taiwan),,Taipei - Manila,Boeing B-707-309C,B-1826,20262/830,135,2,0,133,0.985185185,The aircraft undershot the runway and bounced twice. The two outboard engines broke loose and the wingtips were ripped off. A fire broke out and spread rapidly. Pilot error.,Low Fatality
3/14/80,11:00,"Near Warsaw, Poland",LOT Polish Airlines,7,New York City - Warsaw,Ilyushin IL-62,SP-LAA,11004,87,87,0,0,0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik.",High Fatality
4/25/80,13:21,"Tenerife, Canary Islands",Dan Air Services,1008,Manchester - Tenerife,Boeing B-727-64,G-BDAN,19279/288,146,146,0,0,0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot.",High Fatality
12/21/80,14:23,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,,Rio Hacha - Medellin,Aerospatiale Caravelle 6R,HK-1810,165,70,70,0,0,0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.,High Fatality
6/27/80,20:59,"Tyrrhenian Sea,  off Ustica, Italy",Itavia,870,Bologna - Palermo,McDonnell Douglas DC-9-15,I-TIGI,45724/22,81,81,0,0,0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash.",High Fatality
7/7/80,0:39,"Nar Alma-Ata, Kasakastan, USSR",Aeroflot,4225,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166,166,0,0,0,The aircraft crashed and burned in a field 2 minutes after takeoff. Windshear.,High Fatality
8/7/80,3:00,"Nouadhibou, Mauretania",Tarom,,Bucurest  - Nouadhibou,Tupolev TU-154B-1,YR-TPH,277,168,1,0,167,0.994047619,"The aircraft touched down in water 1,000 ft. short of the runway.",Low Fatality
12/23/80,23:12,"Qatar, Qatar",Saudi Arabian Airlines,,Dhahran - Karachi,Lockheed L-1011-200,HZ-AHJ,1161,291,2,0,289,0.993127148,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.,Low Fatality
8/19/80,19:08,"Near Riyadh, Saudi Arabia",Saudi Arabian Airlines,163,Riyadh - Jeddah,Lockheed 1011-200 TriStar,HZ-AHK,1169,301,301,0,0,0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation.",High Fatality
9/15/80,0:00,"Near Medina, Saudi Arabia",Military - Royal Saudi Air Force,,,Lockheed C-130E,453,4128,89,89,0,0,0,Crashed into the desert after taking off. Report of an in-flight fire.,High Fatality
11/19/80,,"Seoul, South Korea",Korean Airlines,,Anchorage - Seoul,Boeing B-747-2B5B,HL-7445,21773/366,226,15,0,211,0.933628319,Undershot runway and crashed while landing in fog. Crew error.,Low Fatality
8/22/81,10:00,"Near Sanyi, Miao-li, Taiwan",Far Eastern Air Transport,103,Taipei - Kaohsiung,Boeing B-737-222,B-2603,19939/151,110,110,0,0,0,The aircraft experienced in-flight structural failure. Severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.,High Fatality
11/16/81,19:30,"Norilsk, Russia",Aeroflot,,Krasnoyarsk - Norilsk,Tupolev TU-154B-2,CCCP-85480,81A-480,167,99,0,68,0.407185629,The plane acquired excessive vertical speed and descended below the glideslope while attempting to land. The aircraft impacted terrain in an open field and slid across frozen ground for about 300 m. The high descent rate could not be countered by applying maximum elevator trim. Malfunctioning elevator.,High Fatality
12/1/81,8:53,"Mt. San Pietro, near Ajaccio, Corsica, France",Inex Adria Aviopromet (Yugoslavia),JP1308,Ljubljana - Ajaccio,McDonnell Douglas MD-81,YU-ANA,48047/998,180,180,0,0,0,The aircraft crashed into a mountain during an approach to Camp dell Oro Airport in heavy fog. The crew was not properly prepared for the approach. The minimum altitude and maximum speed limits of the holding pattern were probably not retained. Imprecise language used by the crew and air trafficontroller.,High Fatality
